day,count
2025-01-02,8
2025-01-03,3
2025-01-06,135
2025-01-07,74
2025-01-08,216
2025-01-09,66
2025-01-10,97
2025-01-13,109
2025-01-14,140
2025-01-15,105
2025-01-16,205
2025-01-17,133
2025-01-18,2
2025-01-20,77
2025-01-21,74
2025-01-22,78
2025-01-23,75
2025-01-24,76
2025-01-25,2
2025-01-27,79
2025-01-28,51
2025-01-29,38
2025-01-30,23
2025-01-31,33
2025-02-01,3
2025-02-03,66
2025-02-04,99
2025-02-05,90
2025-02-06,104
2025-02-07,66
2025-02-08,1
2025-02-10,76
2025-02-11,120
2025-02-12,101
2025-02-13,145
2025-02-14,117
2025-02-15,4
2025-02-17,25
2025-02-18,89
2025-02-19,100
2025-02-20,153
2025-02-21,166
2025-02-24,75
2025-02-25,46
2025-02-26,84
2025-02-27,68
2025-02-28,39
2025-03-03,70
2025-03-04,109
2025-03-05,167
2025-03-06,208
2025-03-07,130
2025-03-08,5
2025-03-10,208
2025-03-11,139
2025-03-12,177
2025-03-13,191
2025-03-14,154
2025-03-17,178
2025-03-18,155
2025-03-19,140
2025-03-20,169
2025-03-21,103
2025-03-22,1
2025-03-24,122
2025-03-25,118
2025-03-26,103
2025-03-27,168
2025-03-28,116
2025-03-31,105
2025-04-01,16
2025-04-02,158
2025-04-03,128
2025-04-04,76
2025-04-05,1
2025-04-07,83
2025-04-08,86
2025-04-09,211
2025-04-10,69
2025-04-11,79
2025-04-12,2
2025-04-14,118
2025-04-15,50
2025-04-16,107
2025-04-17,74
2025-04-22,129
2025-04-23,31
2025-04-24,134
2025-04-25,58
2025-04-28,63
2025-04-29,55
2025-04-30,101
2025-05-02,3
2025-05-03,2
2025-05-05,123
2025-05-06,89
2025-05-07,80
2025-05-08,78
2025-05-09,34
2025-05-10,1
2025-05-12,153
2025-05-13,131
2025-05-14,84
2025-05-15,138
2025-05-16,50
2025-05-17,1
2025-05-19,112
2025-05-20,103
2025-05-21,139
2025-05-22,107
2025-05-23,87
2025-05-24,1
2025-05-26,66
2025-05-27,84
2025-05-28,104
2025-05-30,90
2025-06-02,106
2025-06-03,47
2025-06-04,90
2025-06-05,82
2025-06-06,66
2025-06-10,62
2025-06-11,159
2025-06-12,102
2025-06-13,30
2025-06-16,107
2025-06-17,20
2025-06-18,102
2025-06-19,41
2025-06-20,17
2025-06-23,24
2025-06-24,27
2025-06-25,24
2025-06-26,17
2025-06-27,67
2025-06-28,1
2025-06-30,115
2025-07-01,81
2025-07-02,146
2025-07-03,68
2025-07-04,66
2025-07-07,36
2025-07-08,108
2025-07-09,58
2025-07-10,50
2025-07-11,62
2025-07-14,81
2025-07-15,84
2025-07-16,66
2025-07-17,34
2025-07-18,54
2025-07-19,2
2025-07-21,68
2025-07-22,46
2025-07-23,62
2025-07-24,78
2025-07-25,41
2025-07-28,62
2025-07-29,48
2025-07-30,65
2025-07-31,106
2025-08-01,75
2025-08-02,2
2025-08-04,84
2025-08-05,113
2025-08-06,101
2025-08-07,60
2025-08-08,69
2025-08-11,135
2025-08-12,120
2025-08-13,101
2025-08-14,68
2025-08-15,60
2025-08-16,1
2025-08-18,31
2025-08-19,19
2025-08-20,55
2025-08-21,78
2025-08-22,69
2025-08-25,70
2025-08-26,62
2025-08-27,114
2025-08-28,43
2025-08-29,82
2025-08-30,6
2025-09-01,94
2025-09-02,32
2025-09-03,106
2025-09-04,63
2025-09-05,51
2025-09-06,1
2025-09-08,31
2025-09-09,16
2025-09-10,11
2025-09-11,45
2025-09-12,10
2025-09-13,1
2025-09-15,76
2025-09-16,114
2025-09-17,114
2025-09-18,126
2025-09-19,83
2025-09-20,1
2025-09-22,102
2025-09-23,56
2025-09-24,50
2025-09-25,85
2025-09-26,58
2025-09-29,29
2025-09-30,49
2025-10-01,67
2025-10-02,89
2025-10-06,88
2025-10-07,87
2025-10-08,87
2025-10-09,207
2025-10-10,180
2025-10-13,100
2025-10-14,178
2025-10-15,118
2025-10-16,112
2025-10-17,122
2025-10-18,1
2025-10-20,106
2025-10-21,52
2025-10-22,83
2025-10-23,108
2025-10-24,70
2025-10-25,1
2025-10-27,17
2025-10-28,8
2025-10-29,15
2025-10-30,15
2025-11-01,1
2025-11-03,50
2025-11-04,125
2025-11-05,89
2025-11-06,110
2025-11-07,49
2025-11-10,104
2025-11-11,118
2025-11-12,106
2025-11-13,106
2025-11-14,8
2025-11-17,94
2025-11-18,108
2025-11-20,37
2025-11-21,59
2025-11-22,60
2025-11-24,95
2025-11-25,107
2025-11-26,34
2025-11-27,72
2025-11-28,85
2025-11-29,43
2025-12-01,36
2025-12-02,43
2025-12-03,96
2025-12-04,81
2025-12-05,91
2025-12-08,52
2025-12-09,90
2025-12-10,118
2025-12-11,87
2025-12-12,64
2025-12-13,1
2025-12-15,79
2025-12-16,60
2025-12-17,22
2025-12-18,92
2025-12-19,44
2025-12-20,1
2025-12-22,1
2025-12-23,2
2025-12-27,2
2025-12-29,3
2025-12-30,3
