month,count
2022-01,1545
2022-02,1855
2022-03,1686
2022-04,1798
2022-05,1626
2022-06,1475
2022-07,2285
2022-08,1370
2022-09,1510
2022-10,1842
2022-11,1889
2022-12,515
2023-01,2077
2023-02,1625
2023-03,1960
2023-04,1734
2023-05,1694
2023-06,2046
2023-07,1991
2023-08,2015
2023-09,1545
2023-10,1671
2023-11,2053
2023-12,1512
2024-01,2484
2024-02,2285
2024-03,2147
2024-04,1962
2024-05,2041
2024-06,2002
2024-07,2668
2024-08,2275
2024-09,1939
2024-10,2507
2024-11,2279
2024-12,2265
2025-01,1899
2025-02,1837
2025-03,3036
2025-04,1829
2025-05,1860
2025-06,1306
2025-07,1572
2025-08,1618
2025-09,1404
2025-10,1911
2025-11,1660
2025-12,1068
