day,count
2022-01-03,64
2022-01-04,95
2022-01-05,186
2022-01-06,117
2022-01-07,102
2022-01-10,183
2022-01-11,165
2022-01-12,211
2022-01-13,174
2022-01-14,184
2022-01-15,2
2022-01-17,159
2022-01-18,154
2022-01-19,159
2022-01-20,115
2022-01-21,132
2022-01-24,193
2022-01-25,280
2022-01-26,208
2022-01-27,134
2022-01-28,100
2022-01-31,210
2022-02-01,224
2022-02-02,240
2022-02-03,258
2022-02-04,198
2022-02-05,62
2022-02-06,5
2022-02-07,272
2022-02-08,241
2022-02-09,232
2022-02-10,237
2022-02-11,169
2022-02-14,267
2022-02-15,245
2022-02-16,188
2022-02-17,118
2022-02-18,202
2022-02-21,278
2022-02-22,276
2022-02-23,151
2022-02-24,218
2022-02-25,151
2022-02-28,184
2022-03-01,215
2022-03-02,170
2022-03-03,119
2022-03-04,139
2022-03-05,5
2022-03-07,139
2022-03-08,176
2022-03-09,207
2022-03-10,180
2022-03-11,185
2022-03-14,65
2022-03-15,204
2022-03-16,144
2022-03-17,199
2022-03-18,193
2022-03-19,36
2022-03-21,154
2022-03-22,247
2022-03-23,197
2022-03-24,175
2022-03-25,54
2022-03-26,47
2022-03-28,153
2022-03-29,176
2022-03-30,181
2022-03-31,148
2022-04-01,138
2022-04-02,2
2022-04-04,141
2022-04-05,185
2022-04-06,207
2022-04-07,221
2022-04-08,181
2022-04-09,18
2022-04-11,150
2022-04-12,184
2022-04-13,147
2022-04-14,159
2022-04-19,124
2022-04-20,178
2022-04-21,189
2022-04-22,158
2022-04-25,216
2022-04-26,202
2022-04-27,199
2022-04-28,193
2022-04-29,192
2022-05-02,117
2022-05-03,267
2022-05-04,255
2022-05-05,189
2022-05-06,177
2022-05-09,161
2022-05-10,222
2022-05-11,162
2022-05-12,186
2022-05-13,170
2022-05-15,4
2022-05-16,146
2022-05-17,193
2022-05-18,142
2022-05-19,195
2022-05-20,162
2022-05-21,42
2022-05-23,126
2022-05-24,151
2022-05-25,207
2022-05-27,100
2022-05-28,3
2022-05-30,151
2022-05-31,182
2022-06-01,212
2022-06-02,194
2022-06-03,203
2022-06-04,10
2022-06-07,225
2022-06-08,239
2022-06-09,149
2022-06-10,126
2022-06-13,208
2022-06-14,203
2022-06-15,252
2022-06-16,184
2022-06-17,136
2022-06-18,5
2022-06-20,135
2022-06-21,128
2022-06-22,107
2022-06-23,164
2022-06-24,159
2022-06-25,9
2022-06-27,155
2022-06-28,115
2022-06-29,123
2022-06-30,203
2022-07-01,149
2022-07-02,7
2022-07-04,165
2022-07-05,160
2022-07-06,204
2022-07-07,187
2022-07-08,178
2022-07-09,6
2022-07-11,221
2022-07-12,253
2022-07-13,226
2022-07-14,260
2022-07-15,211
2022-07-16,10
2022-07-18,199
2022-07-19,187
2022-07-20,191
2022-07-21,191
2022-07-22,182
2022-07-23,11
2022-07-25,154
2022-07-26,170
2022-07-27,215
2022-07-28,136
2022-07-29,116
2022-08-01,199
2022-08-02,169
2022-08-03,127
2022-08-04,151
