month,count
2022-01,3327
2022-02,4416
2022-03,3908
2022-04,3384
2022-05,3710
2022-06,3644
2022-07,3989
2022-08,3254
2022-09,3496
2022-10,3118
2022-11,3346
2022-12,1269
2023-01,5987
2023-02,4976
2023-03,6081
2023-04,5522
2023-05,5415
2023-06,6206
2023-07,5885
2023-08,4692
2023-09,3564
2023-10,3303
2023-11,4312
2023-12,3066
2024-01,5958
2024-02,5100
2024-03,4894
2024-04,5627
2024-05,6117
2024-06,5560
2024-07,5844
2024-08,5080
2024-09,4260
2024-10,4862
2024-11,4491
2024-12,3080
2025-01,6571
2025-02,6909
2025-03,7068
2025-04,6655
2025-05,6078
2025-06,5466
2025-07,5381
2025-08,4622
2025-09,5130
2025-10,6164
2025-11,4806
2025-12,3772
